Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,uncertainty_type,gflops,params,split
0.8281052631578948,0.8263459803971446,0.0004395744068270787,1.2938193877711577,0.4000011682510376,0.768285477228551,0.08153556527833333,0.06583209594160515,0.7971578947368421,0.7432842105263158,0.6573894736842105,0.5218315789473684,0.14378947368421052,0.0025894736842105265,0.001768421052631579,0.0015789473684210526,0.0013684210526315789,0.0009894736842105264,ResNeXt101_32X8D,None,softmax_response,16.41,88.8,test
0.8281052631578948,0.8263459803971446,0.0004395744068270787,1.2938193877711577,0.4000011682510376,0.6267273738206315,0.12563173321262158,0.1099282638758934,0.10218947368421052,0.03126315789473684,0.006357894736842105,0.0025473684210526315,0.0019157894736842106,0.0017894736842105263,0.0016421052631578948,0.0015789473684210526,0.0014105263157894736,0.0008842105263157895,ResNeXt101_32X8D,None,entropy,16.41,88.8,test
0.8281052631578948,0.8263459803971446,0.0002555876929262092,0.7217252869665659,0.03437599539756775,0.8451293196420496,0.055306646770467684,0.03960317743373949,0.8473894736842106,0.8199578947368421,0.7896,0.7565473684210526,0.7152421052631579,0.6633052631578947,0.5663789473684211,0.37545263157894737,0.0016842105263157896,0.001494736842105263,ResNeXt101_32X8D,TempScaleWrapper,softmax_response,16.41,88.8,test
0.8281052631578948,0.8263459803971446,0.0002555876929262092,0.7217252869665659,0.03437599539756775,0.8114037701652185,0.06472264093184557,0.049019171595117386,0.8165052631578947,0.7830105263157895,0.7453894736842105,0.701221052631579,0.6439368421052631,0.5430526315789473,0.3817894736842105,0.004989473684210526,0.001663157894736842,0.0014526315789473684,ResNeXt101_32X8D,TempScaleWrapper,entropy,16.41,88.8,test
0.8408,0.8387341505429585,0.00027791162318364714,0.8596258064268252,0.18815161287784576,0.8256178473751479,0.05674340488639019,0.043337676189617653,0.8687368421052631,0.8423157894736842,0.8120421052631579,0.7730736842105264,0.719178947368421,0.645242105263158,0.4553473684210526,0.02633684210526316,0.004905263157894737,0.0006736842105263158,ConvNeXt_Base,None,softmax_response,15.36,88.6,test
0.8408,0.8387341505429585,0.00027791162318364714,0.8596258064268252,0.18815161287784576,0.7467460622547335,0.0779212986405386,0.06451556994376606,0.7908631578947368,0.7160842105263158,0.6416,0.5211578947368422,0.3815789473684211,0.02448421052631579,0.00848421052631579,0.005010526315789474,0.004336842105263158,0.0004210526315789474,ConvNeXt_Base,None,entropy,15.36,88.6,test
0.8408,0.8387341505429585,0.00023976268491562576,0.6607045211545739,0.03899350017309189,0.8539900410168955,0.04674772536166024,0.033341996664887706,0.8745052631578948,0.8484842105263158,0.8229473684210526,0.7927578947368421,0.7574105263157894,0.7105894736842105,0.6524421052631579,0.5278105263157895,0.16806315789473683,0.003473684210526316,ConvNeXt_Base,TempScaleWrapper,softmax_response,15.36,88.6,test
0.8408,0.8387341505429585,0.00023976268491562576,0.6607045211545739,0.03899350017309189,0.8359281916724957,0.05211698661314042,0.03871125791636788,0.8657263157894737,0.8379578947368421,0.808778947368421,0.7756421052631579,0.7322947368421052,0.6796631578947369,0.5867789473684211,0.3197473684210526,0.007873684210526316,0.0018105263157894736,ConvNeXt_Base,TempScaleWrapper,entropy,15.36,88.6,test
0.7119578947368421,0.7070906076321583,0.0006178816347747979,1.983397327489453,0.42248567938804626,0.8030420135319576,0.1198905056451402,0.07372345590855986,0.4840842105263158,0.44290526315789475,0.3890105263157895,0.3364842105263158,0.2849684210526316,0.22303157894736841,0.17134736842105264,0.1012842105263158,0.04366315789473684,0.020757894736842104,MNASNet0_75,None,softmax_response,0.21,3.2,test
0.7119578947368421,0.7070906076321583,0.0006178816347747979,1.983397327489453,0.42248567938804626,0.712385242287129,0.15806023409933279,0.11189318436275245,0.25730526315789476,0.22202105263157895,0.1858736842105263,0.14503157894736843,0.10086315789473685,0.08197894736842105,0.04846315789473684,0.02936842105263158,0.014442105263157895,0.0022105263157894735,MNASNet0_75,None,entropy,0.21,3.2,test
